agent_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, distance,path_node_sequence,path_time_sequence
0,6463,7496,420,424.2,c,4.2,5.5,6463;7496;,420.0;424.2;
1,7496,7728,420.01,422.1,c,2.09,2.8,7496;7728;,420.0;422.1;
2,26123,27438,420.01,424.5,c,4.49,6,26123;27438;,420.0;424.5;
3,6463,7496,420.01,424.2,c,4.19,5.5,6463;7496;,420.0;424.2;
4,27438,7728,420.01,422.2,c,2.19,2.9,27438;7728;,420.0;422.2;
5,7496,6463,420.01,424.2,c,4.19,5.5,7496;6463;,420.0;424.2;
6,6463,7496,420.01,424.2,c,4.19,5.5,6463;7496;,420.0;424.2;
7,7496,7728,420.01,422.1,c,2.09,2.8,7496;7728;,420.0;422.1;
8,7728,7496,420.01,422.1,c,2.09,2.8,7728;7496;,420.0;422.1;
9,26123,7496,420.01,429,c,8.99,11.7,26123;27438;7728;7496;,420.0;424.5;426.8;429.0;
10,26123,27438,420.01,424.5,c,4.49,6,26123;27438;,420.0;424.5;
11,27438,7496,420.01,424.4,c,4.39,5.7,27438;7728;7496;,420.0;422.2;424.4;
12,7496,27438,420.01,424.4,c,4.39,5.7,7496;7728;27438;,420.0;422.1;424.4;
13,6463,7496,420.01,424.2,c,4.19,5.5,6463;7496;,420.0;424.2;
14,27438,26123,420.01,424.5,c,4.49,6,27438;26123;,420.0;424.5;
15,26123,7728,420.02,426.8,c,6.78,8.9,26123;27438;7728;,420.0;424.5;426.8;
16,27438,7728,420.02,422.2,c,2.18,2.9,27438;7728;,420.0;422.2;
17,7496,7728,420.02,422.1,c,2.08,2.8,7496;7728;,420.0;422.1;
18,7496,6463,420.02,424.2,c,4.18,5.5,7496;6463;,420.0;424.2;
19,6463,7496,420.02,424.2,c,4.18,5.5,6463;7496;,420.0;424.2;
20,26123,27438,420.02,424.5,c,4.48,6,26123;27438;,420.0;424.5;
21,7728,27438,420.02,422.2,c,2.18,2.9,7728;27438;,420.0;422.2;
22,6463,7728,420.02,427.3,c,7.28,8.3,6463;7496;7728;,420.0;424.1;427.3;
23,6463,7496,420.02,424.2,c,4.18,5.5,6463;7496;,420.0;424.2;
24,6463,27438,420.02,429.6,c,9.58,11.2,6463;7496;7728;27438;,420.0;424.1;427.3;429.6;
25,7496,7728,420.02,422.2,c,2.18,2.8,7496;7728;,420.0;422.2;
26,7728,7496,420.02,422.2,c,2.18,2.8,7728;7496;,420.0;422.2;
27,26123,7496,420.02,429.1,c,9.08,11.7,26123;27438;7728;7496;,420.0;424.5;426.9;429.1;
28,26123,27438,420.02,424.6,c,4.58,6,26123;27438;,420.0;424.6;
29,27438,7728,420.02,422.2,c,2.18,2.9,27438;7728;,420.0;422.2;
30,6463,7496,420.02,424.2,c,4.18,5.5,6463;7496;,420.0;424.2;
31,27438,7496,420.02,424.4,c,4.38,5.7,27438;7728;7496;,420.0;422.2;424.4;
32,7496,6463,420.03,424.2,c,4.17,5.5,7496;6463;,420.0;424.2;
33,7496,27438,420.03,424.5,c,4.47,5.7,7496;7728;27438;,420.0;422.1;424.5;
34,7496,7728,420.03,422.2,c,2.17,2.8,7496;7728;,420.0;422.2;
35,6463,7496,420.03,424.2,c,4.17,5.5,6463;7496;,420.0;424.2;
36,26123,6463,420.03,433.4,c,13.37,17.2,26123;27438;7728;7496;6463;,420.0;424.5;426.9;429.0;433.4;
37,27438,26123,420.03,424.6,c,4.57,6,27438;26123;,420.0;424.6;
38,26123,27438,420.03,424.6,c,4.57,6,26123;27438;,420.0;424.6;
39,6463,26123,420.03,434.2,c,14.17,17.2,6463;7496;7728;27438;26123;,420.0;424.2;427.3;429.6;434.2;
40,26123,7728,420.03,426.9,c,6.87,8.9,26123;27438;7728;,420.0;424.5;426.9;
41,6463,7496,420.03,424.2,c,4.17,5.5,6463;7496;,420.0;424.2;
42,27438,7728,420.03,422.2,c,2.17,2.9,27438;7728;,420.0;422.2;
43,7496,26123,420.03,429.1,c,9.07,11.7,7496;7728;27438;26123;,420.0;422.1;424.5;429.1;
44,7496,7728,420.03,422.2,c,2.17,2.8,7496;7728;,420.0;422.2;
45,7728,7496,420.03,422.2,c,2.17,2.8,7728;7496;,420.0;422.2;
46,7496,6463,420.03,424.2,c,4.17,5.5,7496;6463;,420.0;424.2;
47,6463,7496,420.03,424.2,c,4.17,5.5,6463;7496;,420.0;424.2;
48,26123,7496,420.03,429.1,c,9.07,11.7,26123;27438;7728;7496;,420.0;424.5;426.9;429.1;
49,26123,27438,420.04,424.6,c,4.56,6,26123;27438;,420.0;424.6;
50,27438,7496,420.04,424.4,c,4.36,5.7,27438;7728;7496;,420.0;422.2;424.4;
51,7728,27438,420.04,422.2,c,2.16,2.9,7728;27438;,420.0;422.2;
52,7496,7728,420.04,422.2,c,2.16,2.8,7496;7728;,420.0;422.2;
53,6463,7496,420.04,424.2,c,4.16,5.5,6463;7496;,420.0;424.2;
54,6463,7728,420.04,427.3,c,7.26,8.3,6463;7496;7728;,420.0;424.2;427.3;
55,27438,7728,420.04,422.2,c,2.16,2.9,27438;7728;,420.0;422.2;
56,7496,27438,420.04,424.5,c,4.46,5.7,7496;7728;27438;,420.0;422.1;424.5;
57,26123,27438,420.04,424.6,c,4.56,6,26123;27438;,420.0;424.6;
58,6463,7496,420.04,424.2,c,4.16,5.5,6463;7496;,420.0;424.2;
59,6463,27438,420.04,429.6,c,9.56,11.2,6463;7496;7728;27438;,420.0;424.2;427.3;429.6;
60,7496,6463,420.04,424.2,c,4.16,5.5,7496;6463;,420.0;424.2;
61,7496,7728,420.04,422.2,c,2.16,2.8,7496;7728;,420.0;422.2;
62,27438,26123,420.04,424.6,c,4.56,6,27438;26123;,420.0;424.6;
63,6463,7496,420.05,424.2,c,4.15,5.5,6463;7496;,420.0;424.2;
64,7728,7496,420.05,422.2,c,2.15,2.8,7728;7496;,420.0;422.2;
65,26123,7728,420.05,426.9,c,6.85,8.9,26123;27438;7728;,420.0;424.5;426.9;
66,26123,7496,420.05,429.1,c,9.05,11.7,26123;27438;7728;7496;,420.0;424.5;426.9;429.1;
67,26123,27438,420.05,424.6,c,4.55,6,26123;27438;,420.0;424.6;
68,27438,7728,420.05,422.3,c,2.25,2.9,27438;7728;,420.0;422.3;
69,27438,6463,420.05,428.7,c,8.65,11.2,27438;7728;7496;6463;,420.0;422.2;424.5;428.7;
70,6463,7496,420.05,424.2,c,4.15,5.5,6463;7496;,420.0;424.2;
71,27438,7496,420.05,424.5,c,4.45,5.7,27438;7728;7496;,420.0;422.2;424.5;
72,7496,7728,420.05,422.2,c,2.15,2.8,7496;7728;,420.0;422.2;
73,7496,6463,420.05,424.2,c,4.15,5.5,7496;6463;,420.0;424.2;
74,6463,7496,420.05,424.2,c,4.15,5.5,6463;7496;,420.0;424.2;
75,26123,27438,420.05,424.6,c,4.55,6,26123;27438;,420.0;424.6;
76,7496,27438,420.05,424.5,c,4.45,5.7,7496;7728;27438;,420.0;422.2;424.5;
77,7496,7728,420.05,422.2,c,2.15,2.8,7496;7728;,420.0;422.2;
78,7728,27438,420.05,422.3,c,2.25,2.9,7728;27438;,420.0;422.3;
79,27438,7728,420.06,422.3,c,2.24,2.9,27438;7728;,420.0;422.3;
80,6463,7496,420.06,424.2,c,4.14,5.5,6463;7496;,420.0;424.2;
81,26123,6463,420.06,433.4,c,13.34,17.2,26123;27438;7728;7496;6463;,420.0;424.6;426.9;429.0;433.4;
82,7728,7496,420.06,422.2,c,2.14,2.8,7728;7496;,420.0;422.2;
83,6463,7728,420.06,427.3,c,7.24,8.3,6463;7496;7728;,420.0;424.2;427.3;
84,26123,7496,420.06,429.1,c,9.04,11.7,26123;27438;7728;7496;,420.0;424.6;426.9;429.1;
85,6463,7496,420.06,424.2,c,4.14,5.5,6463;7496;,420.0;424.2;
86,27438,26123,420.06,424.6,c,4.54,6,27438;26123;,420.0;424.6;
87,26123,27438,420.06,424.6,c,4.54,6,26123;27438;,420.0;424.6;
88,7496,7728,420.06,422.2,c,2.14,2.8,7496;7728;,420.0;422.2;
89,7496,6463,420.06,424.2,c,4.14,5.5,7496;6463;,420.0;424.2;
90,27438,7496,420.06,424.5,c,4.44,5.7,27438;7728;7496;,420.0;422.2;424.5;
91,6463,26123,420.06,434.2,c,14.14,17.2,6463;7496;7728;27438;26123;,420.0;424.2;427.3;429.6;434.2;
92,26123,7728,420.06,426.9,c,6.84,8.9,26123;27438;7728;,420.0;424.6;426.9;
93,6463,7496,420.06,424.3,c,4.24,5.5,6463;7496;,420.0;424.3;
94,27438,7728,420.06,422.3,c,2.24,2.9,27438;7728;,420.0;422.3;
95,6463,27438,420.06,429.8,c,9.74,11.2,6463;7496;7728;27438;,420.0;424.3;427.5;429.8;
96,7496,26123,420.06,429.1,c,9.04,11.7,7496;7728;27438;26123;,420.0;422.2;424.5;429.1;
97,26123,27438,420.06,424.6,c,4.54,6,26123;27438;,420.0;424.6;
98,7496,7728,420.07,422.2,c,2.13,2.8,7496;7728;,420.0;422.2;
99,6463,7496,420.07,424.3,c,4.23,5.5,6463;7496;,420.0;424.3;
100,7496,27438,420.07,424.5,c,4.43,5.7,7496;7728;27438;,420.0;422.2;424.5;
101,7728,7496,420.07,422.2,c,2.13,2.8,7728;7496;,420.0;422.2;
102,7496,6463,420.07,424.2,c,4.13,5.5,7496;6463;,420.0;424.2;
103,6463,7496,420.07,424.3,c,4.23,5.5,6463;7496;,420.0;424.3;
104,26123,7496,420.07,429.1,c,9.03,11.7,26123;27438;7728;7496;,420.0;424.6;426.9;429.1;
105,7496,7728,420.07,422.2,c,2.13,2.8,7496;7728;,420.0;422.2;
106,26123,27438,420.07,424.6,c,4.53,6,26123;27438;,420.0;424.6;
107,27438,7728,420.07,422.3,c,2.23,2.9,27438;7728;,420.0;422.3;
108,6463,7496,420.07,424.3,c,4.23,5.5,6463;7496;,420.0;424.3;
109,27438,7496,420.07,424.5,c,4.43,5.7,27438;7728;7496;,420.0;422.2;424.5;
110,7728,27438,420.07,422.3,c,2.23,2.9,7728;27438;,420.0;422.3;
111,27438,26123,420.07,424.6,c,4.53,6,27438;26123;,420.0;424.6;
112,7496,7728,420.08,422.2,c,2.12,2.8,7496;7728;,420.0;422.2;
113,6463,7496,420.08,424.3,c,4.22,5.5,6463;7496;,420.0;424.3;
114,26123,27438,420.08,424.6,c,4.52,6,26123;27438;,420.0;424.6;
115,26123,7728,420.08,426.9,c,6.82,8.9,26123;27438;7728;,420.0;424.6;426.9;
116,6463,7728,420.08,427.5,c,7.42,8.3,6463;7496;7728;,420.0;424.2;427.5;
117,7496,6463,420.08,424.2,c,4.12,5.5,7496;6463;,420.0;424.2;
118,27438,7728,420.08,422.3,c,2.22,2.9,27438;7728;,420.0;422.3;
119,7728,7496,420.08,422.2,c,2.12,2.8,7728;7496;,420.0;422.2;
120,6463,7496,420.08,424.3,c,4.22,5.5,6463;7496;,420.0;424.3;
121,7496,27438,420.08,424.5,c,4.42,5.7,7496;7728;27438;,420.0;422.2;424.5;
122,26123,7496,420.08,429.2,c,9.12,11.7,26123;27438;7728;7496;,420.0;424.6;427.0;429.2;
123,7496,7728,420.08,422.2,c,2.12,2.8,7496;7728;,420.0;422.2;
124,26123,27438,420.08,424.6,c,4.52,6,26123;27438;,420.0;424.6;
125,6463,7496,420.08,424.3,c,4.22,5.5,6463;7496;,420.0;424.3;
126,26123,6463,420.08,433.4,c,13.32,17.2,26123;27438;7728;7496;6463;,420.0;424.6;427.0;429.1;433.4;
127,6463,27438,420.08,429.8,c,9.72,11.2,6463;7496;7728;27438;,420.0;424.2;427.5;429.8;
128,27438,7496,420.09,424.5,c,4.41,5.7,27438;7728;7496;,420.0;422.3;424.5;
129,7496,6463,420.09,424.2,c,4.11,5.5,7496;6463;,420.0;424.2;
130,6463,7496,420.09,424.3,c,4.21,5.5,6463;7496;,420.0;424.3;
131,27438,7728,420.09,422.3,c,2.21,2.9,27438;7728;,420.0;422.3;
132,7496,7728,420.09,422.2,c,2.11,2.8,7496;7728;,420.0;422.2;
133,27438,26123,420.09,424.6,c,4.51,6,27438;26123;,420.0;424.6;
134,26123,27438,420.09,424.7,c,4.61,6,26123;27438;,420.0;424.7;
135,7728,26123,420.09,426.9,c,6.81,8.9,7728;27438;26123;,420.0;422.3;426.9;
136,6463,7496,420.09,424.3,c,4.21,5.5,6463;7496;,420.0;424.3;
137,7728,7496,420.09,422.2,c,2.11,2.8,7728;7496;,420.0;422.2;
138,7728,27438,420.09,422.3,c,2.21,2.9,7728;27438;,420.0;422.3;
139,7496,7728,420.09,422.2,c,2.11,2.8,7496;7728;,420.0;422.2;
140,6463,26123,420.09,434.4,c,14.31,17.2,6463;7496;7728;27438;26123;,420.0;424.2;427.5;429.8;434.4;
141,26123,7728,420.09,427.1,c,7.01,8.9,26123;27438;7728;,420.0;424.6;427.1;
142,26123,7496,420.09,429.3,c,9.21,11.7,26123;27438;7728;7496;,420.0;424.6;427.1;429.3;
143,6463,7496,420.09,424.3,c,4.21,5.5,6463;7496;,420.0;424.3;
144,7496,27438,420.09,424.5,c,4.41,5.7,7496;7728;27438;,420.0;422.2;424.5;
145,26123,27438,420.09,424.7,c,4.61,6,26123;27438;,420.0;424.7;
146,7496,6463,420.09,424.2,c,4.11,5.5,7496;6463;,420.0;424.2;
147,27438,7728,420.09,422.3,c,2.21,2.9,27438;7728;,420.0;422.3;
148,27438,6463,420.1,428.7,c,8.6,11.2,27438;7728;7496;6463;,420.0;422.3;424.5;428.7;
149,7496,26123,420.1,429.1,c,9,11.7,7496;7728;27438;26123;,420.0;422.2;424.5;429.1;
150,6463,7728,420.1,427.5,c,7.4,8.3,6463;7496;7728;,420.0;424.2;427.5;
151,6463,7496,420.1,424.3,c,4.2,5.5,6463;7496;,420.0;424.3;
152,27438,7496,420.1,424.5,c,4.4,5.7,27438;7728;7496;,420.0;422.3;424.5;
153,7496,7728,420.1,422.2,c,2.1,2.8,7496;7728;,420.0;422.2;
154,7728,6463,420.1,426.4,c,6.3,8.3,7728;7496;6463;,420.1;422.2;426.4;
155,26123,27438,420.1,424.7,c,4.6,6,26123;27438;,420.1;424.7;
156,6463,7496,420.1,424.3,c,4.2,5.5,6463;7496;,420.1;424.3;
157,7728,7496,420.1,422.2,c,2.1,2.8,7728;7496;,420.1;422.2;
158,27438,7728,420.1,422.3,c,2.2,2.9,27438;7728;,420.1;422.3;
159,27438,26123,420.1,424.6,c,4.5,6,27438;26123;,420.1;424.6;
160,7496,7728,420.1,422.3,c,2.2,2.8,7496;7728;,420.1;422.3;
161,7496,6463,420.1,424.3,c,4.2,5.5,7496;6463;,420.1;424.3;
162,6463,7496,420.1,424.3,c,4.2,5.5,6463;7496;,420.1;424.3;
163,26123,7496,420.1,429.3,c,9.2,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
164,6463,27438,420.11,429.8,c,9.69,11.2,6463;7496;7728;27438;,420.1;424.2;427.5;429.8;
165,26123,27438,420.11,424.7,c,4.59,6,26123;27438;,420.1;424.7;
166,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
167,7496,27438,420.11,424.6,c,4.49,5.7,7496;7728;27438;,420.1;422.2;424.6;
168,26123,7728,420.11,427.1,c,6.99,8.9,26123;27438;7728;,420.1;424.6;427.1;
169,7496,7728,420.11,422.3,c,2.19,2.8,7496;7728;,420.1;422.3;
170,27438,7496,420.11,424.5,c,4.39,5.7,27438;7728;7496;,420.1;422.3;424.5;
171,7728,27438,420.11,422.3,c,2.19,2.9,7728;27438;,420.1;422.3;
172,27438,7728,420.11,422.3,c,2.19,2.9,27438;7728;,420.1;422.3;
173,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
174,26123,6463,420.11,433.6,c,13.49,17.2,26123;27438;7728;7496;6463;,420.1;424.6;427.1;429.2;433.6;
175,7496,6463,420.11,424.3,c,4.19,5.5,7496;6463;,420.1;424.3;
176,26123,27438,420.11,424.7,c,4.59,6,26123;27438;,420.1;424.7;
177,7728,7496,420.11,422.2,c,2.09,2.8,7728;7496;,420.1;422.2;
178,7496,7728,420.11,422.3,c,2.19,2.8,7496;7728;,420.1;422.3;
179,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
180,6463,7728,420.12,427.5,c,7.38,8.3,6463;7496;7728;,420.1;424.2;427.5;
181,26123,7496,420.12,429.3,c,9.18,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
182,6463,7496,420.12,424.3,c,4.18,5.5,6463;7496;,420.1;424.3;
183,27438,26123,420.12,424.6,c,4.48,6,27438;26123;,420.1;424.6;
184,26123,27438,420.12,424.7,c,4.58,6,26123;27438;,420.1;424.7;
185,27438,7728,420.12,422.3,c,2.18,2.9,27438;7728;,420.1;422.3;
186,7496,7728,420.12,422.3,c,2.18,2.8,7496;7728;,420.1;422.3;
187,7496,6463,420.12,424.3,c,4.18,5.5,7496;6463;,420.1;424.3;
188,7496,27438,420.12,424.6,c,4.48,5.7,7496;7728;27438;,420.1;422.2;424.6;
189,6463,7496,420.12,424.4,c,4.28,5.5,6463;7496;,420.1;424.4;
190,27438,7496,420.12,424.5,c,4.38,5.7,27438;7728;7496;,420.1;422.3;424.5;
191,6463,26123,420.12,434.5,c,14.38,17.2,6463;7496;7728;27438;26123;,420.1;424.4;427.6;429.9;434.5;
192,26123,7728,420.12,427.1,c,6.98,8.9,26123;27438;7728;,420.1;424.6;427.1;
193,26123,27438,420.12,424.7,c,4.58,6,26123;27438;,420.1;424.7;
194,6463,7496,420.12,424.4,c,4.28,5.5,6463;7496;,420.1;424.4;
195,7728,7496,420.12,422.3,c,2.18,2.8,7728;7496;,420.1;422.3;
196,7496,7728,420.13,422.3,c,2.17,2.8,7496;7728;,420.1;422.3;
197,27438,7728,420.13,422.3,c,2.17,2.9,27438;7728;,420.1;422.3;
198,6463,27438,420.13,429.9,c,9.77,11.2,6463;7496;7728;27438;,420.1;424.4;427.6;429.9;
199,26123,7496,420.13,429.3,c,9.17,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
200,7728,27438,420.13,422.3,c,2.17,2.9,7728;27438;,420.1;422.3;
201,7496,26123,420.13,429.2,c,9.07,11.7,7496;7728;27438;26123;,420.1;422.2;424.6;429.2;
202,6463,7496,420.13,424.4,c,4.27,5.5,6463;7496;,420.1;424.4;
203,7496,6463,420.13,424.3,c,4.17,5.5,7496;6463;,420.1;424.3;
204,26123,27438,420.13,424.7,c,4.57,6,26123;27438;,420.1;424.7;
205,7496,7728,420.13,422.3,c,2.17,2.8,7496;7728;,420.1;422.3;
206,6463,7496,420.13,424.4,c,4.27,5.5,6463;7496;,420.1;424.4;
207,27438,26123,420.13,424.7,c,4.57,6,27438;26123;,420.1;424.7;
208,27438,7496,420.13,424.5,c,4.37,5.7,27438;7728;7496;,420.1;422.3;424.5;
209,27438,7728,420.13,422.3,c,2.17,2.9,27438;7728;,420.1;422.3;
210,7496,27438,420.13,424.6,c,4.47,5.7,7496;7728;27438;,420.1;422.2;424.6;
211,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
212,6463,7728,420.14,427.6,c,7.46,8.3,6463;7496;7728;,420.1;424.4;427.6;
213,26123,27438,420.14,424.7,c,4.56,6,26123;27438;,420.1;424.7;
214,7496,7728,420.14,422.3,c,2.16,2.8,7496;7728;,420.1;422.3;
215,7728,7496,420.14,422.3,c,2.16,2.8,7728;7496;,420.1;422.3;
216,7496,6463,420.14,424.3,c,4.16,5.5,7496;6463;,420.1;424.3;
217,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
218,26123,7728,420.14,427.1,c,6.96,8.9,26123;27438;7728;,420.1;424.6;427.1;
219,26123,6463,420.14,433.6,c,13.46,17.2,26123;27438;7728;7496;6463;,420.1;424.6;427.1;429.2;433.6;
220,26123,7496,420.14,429.3,c,9.16,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
221,7496,7728,420.14,422.3,c,2.16,2.8,7496;7728;,420.1;422.3;
222,26123,27438,420.14,424.7,c,4.56,6,26123;27438;,420.1;424.7;
223,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
224,27438,7728,420.14,422.3,c,2.16,2.9,27438;7728;,420.1;422.3;
225,27438,6463,420.14,428.7,c,8.56,11.2,27438;7728;7496;6463;,420.1;422.3;424.4;428.7;
226,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
227,27438,7496,420.15,424.6,c,4.45,5.7,27438;7728;7496;,420.1;422.3;424.6;
228,7728,27438,420.15,422.4,c,2.25,2.9,7728;27438;,420.1;422.4;
229,7496,6463,420.15,424.3,c,4.15,5.5,7496;6463;,420.1;424.3;
230,7496,7728,420.15,422.3,c,2.15,2.8,7496;7728;,420.1;422.3;
231,27438,26123,420.15,424.7,c,4.55,6,27438;26123;,420.1;424.7;
232,26123,27438,420.15,424.7,c,4.55,6,26123;27438;,420.1;424.7;
233,7728,7496,420.15,422.3,c,2.15,2.8,7728;7496;,420.1;422.3;
234,7496,27438,420.15,424.6,c,4.45,5.7,7496;7728;27438;,420.1;422.2;424.6;
235,6463,27438,420.15,429.9,c,9.75,11.2,6463;7496;7728;27438;,420.1;424.4;427.6;429.9;
236,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
237,27438,7728,420.15,422.4,c,2.25,2.9,27438;7728;,420.1;422.4;
238,26123,7496,420.15,429.3,c,9.15,11.7,26123;27438;7728;7496;,420.1;424.7;427.1;429.3;
239,7496,7728,420.15,422.3,c,2.15,2.8,7496;7728;,420.1;422.3;
240,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
241,26123,27438,420.15,424.7,c,4.55,6,26123;27438;,420.1;424.7;
242,6463,26123,420.15,434.5,c,14.35,17.2,6463;7496;7728;27438;26123;,420.1;424.4;427.6;429.9;434.5;
243,26123,7728,420.15,427.2,c,7.05,8.9,26123;27438;7728;,420.1;424.8;427.2;
244,6463,7728,420.15,427.6,c,7.45,8.3,6463;7496;7728;,420.1;424.4;427.6;
245,7496,6463,420.16,424.3,c,4.14,5.5,7496;6463;,420.1;424.3;
246,6463,7496,420.16,424.4,c,4.24,5.5,6463;7496;,420.1;424.4;
247,7496,7728,420.16,422.3,c,2.14,2.8,7496;7728;,420.1;422.3;
248,27438,7728,420.16,422.4,c,2.24,2.9,27438;7728;,420.1;422.4;
